Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_kg_ha,Reihenabstand,Pflanzenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID
60,1967,1967-04-21T00:00:00,1967-05-19T00:00:00,60,,62.5,40,1,,10
61,1967,1967-04-21T00:00:00,1967-05-19T00:00:00,61,,62.5,40,1,,10
62,1967,1967-04-21T00:00:00,1967-05-19T00:00:00,62,,62.5,40,1,,10
63,1967,1967-04-21T00:00:00,1967-05-19T00:00:00,63,,62.5,40,1,,10
64,1967,1967-04-21T00:00:00,1967-05-19T00:00:00,64,,62.5,40,1,,10
65,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,1,192,20,,2,,9
66,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,2,192,20,,2,,9
67,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,3,192,20,,2,,9
68,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,4,192,20,,2,,9
69,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,5,192,20,,2,,9
70,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,6,192,20,,2,,9
71,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,7,192,20,,2,,9
72,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,8,192,20,,2,,9
73,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,9,192,20,,2,,9
74,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,10,192,20,,2,,9
75,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,11,192,20,,2,,9
76,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,12,192,20,,2,,9
77,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,13,192,20,,2,,9
78,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,14,192,20,,2,,9
79,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,15,192,20,,2,,9
80,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,16,192,20,,2,,9
81,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,17,192,20,,2,,9
82,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,18,192,20,,2,,9
83,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,19,192,20,,2,,9
84,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,20,192,20,,2,,9
85,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,21,192,20,,2,,9
86,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,22,192,20,,2,,9
87,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,23,192,20,,2,,9
88,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,24,192,20,,2,,9
89,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,25,192,20,,2,,9
90,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,26,192,20,,2,,9
91,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,27,192,20,,2,,9
92,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,28,192,20,,2,,9
93,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,29,192,20,,2,,9
94,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,30,192,20,,2,,9
95,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,31,192,20,,2,,9
96,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,32,192,20,,2,,9
97,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,33,192,20,,2,,9
98,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,34,192,20,,2,,9
99,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,35,192,20,,2,,9
100,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,36,192,20,,2,,9
101,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,37,192,20,,2,,9
102,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,38,192,20,,2,,9
103,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,39,192,20,,2,,9
104,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,40,192,20,,2,,9
105,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,41,192,20,,2,,9
106,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,42,192,20,,2,,9
107,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,43,192,20,,2,,9
108,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,44,192,20,,2,,9
109,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,45,192,20,,2,,9
110,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,46,192,20,,2,,9
111,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,47,192,20,,2,,9
112,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,48,192,20,,2,,9
113,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,49,192,20,,2,,9
114,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,50,192,20,,2,,9
115,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,51,192,20,,2,,9
116,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,52,192,20,,2,,9
117,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,53,192,20,,2,,9
118,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,54,192,20,,2,,9
119,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,55,192,20,,2,,9
120,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,56,192,20,,2,,9
121,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,57,192,20,,2,,9
122,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,58,192,20,,2,,9
123,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,59,192,20,,2,,9
124,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,60,192,20,,2,,9
125,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,61,192,20,,2,,9
126,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,62,192,20,,2,,9
127,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,63,192,20,,2,,9
128,1968,1967-10-20T00:00:00,1967-11-06T00:00:00,64,192,20,,2,,9
129,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,1,40,41.7,,3,,8
130,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,2,40,41.7,,3,,8
131,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,3,40,41.7,,3,,8
132,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,4,40,41.7,,3,,8
133,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,5,40,41.7,,3,,8
134,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,6,40,41.7,,3,,8
135,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,7,40,41.7,,3,,8
136,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,8,40,41.7,,3,,8
137,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,9,40,41.7,,3,,8
138,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,10,40,41.7,,3,,8
