Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID,Ganzflaechig,Technik_ID
106,1968,1968-08-16T00:00:00,34,2,1,21
107,1968,1968-08-16T00:00:00,35,2,1,21
108,1968,1968-08-16T00:00:00,36,2,1,21
109,1968,1968-08-16T00:00:00,40,2,1,21
110,1968,1968-08-16T00:00:00,42,2,1,21
111,1968,1968-08-16T00:00:00,44,2,1,21
112,1968,1968-08-16T00:00:00,38,2,1,21
113,1968,1968-08-16T00:00:00,57,2,1,21
114,1968,1968-08-16T00:00:00,63,2,1,21
115,1968,1968-08-16T00:00:00,60,2,1,21
116,1968,1968-08-16T00:00:00,53,2,1,21
117,1968,1968-08-16T00:00:00,61,2,1,21
118,1968,1968-08-16T00:00:00,64,2,1,21
119,1968,1968-08-16T00:00:00,59,2,1,21
120,1968,1968-08-16T00:00:00,58,2,1,21
121,1968,1968-08-16T00:00:00,54,2,1,21
122,1968,1968-08-16T00:00:00,56,2,1,21
123,1968,1968-08-16T00:00:00,62,2,1,21
124,1968,1968-08-16T00:00:00,55,2,1,21
125,1968,1968-08-16T00:00:00,49,2,1,21
126,1968,1968-08-16T00:00:00,50,2,1,21
127,1968,1968-08-16T00:00:00,51,2,1,21
128,1968,1968-08-16T00:00:00,52,2,1,21
129,1969,1969-10-23T00:00:00,1,3,1,20
130,1969,1969-10-23T00:00:00,2,3,1,20
131,1969,1969-10-23T00:00:00,3,3,1,20
132,1969,1969-10-23T00:00:00,4,3,1,20
133,1969,1969-10-23T00:00:00,5,3,1,20
134,1969,1969-10-23T00:00:00,6,3,1,20
135,1969,1969-10-23T00:00:00,7,3,1,20
136,1969,1969-10-23T00:00:00,8,3,1,20
137,1969,1969-10-23T00:00:00,9,3,1,20
138,1969,1969-10-23T00:00:00,10,3,1,20
139,1969,1969-10-23T00:00:00,11,3,1,20
140,1969,1969-10-23T00:00:00,12,3,1,20
141,1969,1969-10-23T00:00:00,13,3,1,20
142,1969,1969-10-23T00:00:00,14,3,1,20
143,1969,1969-10-23T00:00:00,15,3,1,20
144,1969,1969-10-23T00:00:00,16,3,1,20
145,1969,1969-10-23T00:00:00,22,3,1,20
146,1969,1969-10-23T00:00:00,28,3,1,20
147,1969,1969-10-23T00:00:00,30,3,1,20
148,1969,1969-10-23T00:00:00,26,3,1,20
149,1969,1969-10-23T00:00:00,17,3,1,20
150,1969,1969-10-23T00:00:00,18,3,1,20
151,1969,1969-10-23T00:00:00,19,3,1,20
152,1969,1969-10-23T00:00:00,20,3,1,20
153,1969,1969-10-23T00:00:00,29,3,1,20
154,1969,1969-10-23T00:00:00,31,3,1,20
155,1969,1969-10-23T00:00:00,24,3,1,20
156,1969,1969-10-23T00:00:00,32,3,1,20
